time,mote_id,node,message_type,message,tx,rx,size
0.0,,8,energy,,0.0,0.0,
0.0,,20,energy,,0.0,0.0,
0.0,,1,energy,,0.0,0.0,
0.0,,10,energy,,0.0,0.0,
0.0,,13,energy,,0.0,0.0,
0.0,,7,energy,,0.0,0.0,
0.0,,18,energy,,0.0,0.0,
0.0,,19,energy,,0.0,0.0,
0.0,,11,energy,,0.0,0.0,
0.0,,2,energy,,0.0,0.0,
0.0,,3,energy,,0.0,0.0,
0.0,,12,energy,,0.0,0.0,
0.0,,14,energy,,0.0,0.0,
0.0,,21,energy,,0.0,0.0,
0.0,,16,energy,,0.0,0.0,
0.0,,15,energy,,0.0,0.0,
0.0,,17,energy,,0.0,0.0,
0.0,,5,energy,,0.0,0.0,
0.0,,6,energy,,0.0,0.0,
0.0,,9,energy,,0.0,0.0,
0.0,,4,energy,,0.0,0.0,
0.148983,,3,energy,,0.0,0.0,
0.150016,,11,energy,,0.0,0.0,
0.253019,,7,energy,,0.0,0.0,
0.265657,,8,energy,,0.0,0.0,
0.287935,,3,energy,,0.0,0.0,
0.289135,,11,energy,,0.0,0.0,
0.318249,,14,energy,,0.0,0.0,
0.331799,,2,energy,,0.0,0.0,
0.335498,,5,energy,,0.0,0.0,
0.357361,,12,energy,,0.0,0.0,
0.372189,,20,energy,,0.0,0.0,
0.391971,,7,energy,,0.0,0.0,
0.40421,,8,energy,,0.0,0.0,
0.404609,,8,energy,,0.0,0.0,
0.457368,,14,energy,,0.0,0.0,
0.464974,,13,energy,,0.0,0.0,
0.470751,,2,energy,,0.0,0.0,
0.47445,,5,energy,,0.0,0.0,
0.49648,,12,energy,,0.0,0.0,
0.511308,,20,energy,,0.0,0.0,
0.537935,,3,energy,,0.0,0.0,
0.539134,,11,energy,,0.0,0.0,
0.593271,,6,energy,,0.0,0.0,
0.604093,,13,energy,,0.0,0.0,
0.641971,,7,energy,,0.0,0.0,
0.654609,,8,energy,,0.0,0.0,
0.662935,,3,energy,,0.0,0.0,
0.664135,,11,energy,,0.0,0.0,
0.686845,,19,energy,,0.0,0.0,
0.707367,,14,energy,,0.0,0.0,
0.720751,,2,energy,,0.0,0.0,
0.72445,,5,energy,,0.0,0.0,
0.728297,,17,energy,,0.0,0.0,
0.732223,,6,energy,,0.0,0.0,
0.746479,,12,energy,,0.0,0.0,
0.749218,,1,energy,,0.0,0.0,
0.761307,,20,energy,,0.0,0.0,
0.766971,,7,energy,,0.0,0.0,
0.779609,,8,energy,,0.0,0.0,
0.787936,,3,energy,,0.0,0.0,
0.789135,,11,energy,,0.0,0.0,
0.804423,,16,energy,,0.0,0.0,
0.825964,,19,energy,,0.0,0.0,
0.832368,,14,energy,,0.0,0.0,
0.845751,,2,energy,,0.0,0.0,
0.84945,,5,energy,,0.0,0.0,
0.854092,,13,energy,,0.0,0.0,
0.867416,,17,energy,,0.0,0.0,
0.87148,,12,energy,,0.0,0.0,
0.886308,,20,energy,,0.0,0.0,
0.891972,,7,energy,,0.0,0.0,
0.90461,,8,energy,,0.0,0.0,
0.912935,,3,energy,,0.0,0.0,
0.914135,,11,energy,,0.0,0.0,
0.918496,,10,energy,,0.0,0.0,
0.943542,,16,energy,,0.0,0.0,
0.946023,,18,energy,,0.0,0.0,
0.957368,,14,energy,,0.0,0.0,
0.970752,,2,energy,,0.0,0.0,
0.974451,,5,energy,,0.0,0.0,
0.979093,,13,energy,,0.0,0.0,
0.982223,,6,energy,,0.0,0.0,
0.987156,,4,energy,,0.0,0.0,
0.995331,,21,energy,,0.0,0.0,
0.99648,,12,energy,,0.0,0.0,
1.011308,,20,energy,,0.0,0.0,
1.016971,,7,energy,,0.0,0.0,
1.029609,,8,energy,,0.0,0.0,
1.037935,,3,energy,,0.0,0.0,
1.039135,,11,energy,,0.0,0.0,
1.057615,,10,energy,,0.0,0.0,
1.075963,,19,energy,,0.0,0.0,
1.082368,,14,energy,,0.0,0.0,
1.085142,,18,energy,,0.0,0.0,
1.087649,,15,energy,,0.0,0.0,
1.095751,,2,energy,,0.0,0.0,
1.09945,,5,energy,,0.0,0.0,
