dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,2.108827
0.006784,,,,,,14.641867
,,,0.054272,53.0,32.0,14.782955
0.006784,,,,,,14.782955
,0.0768,,,,,14.830634
,,,0.005568,58.0,3.0,16.155068
,0.0768,,,,,20.963819
0.006784,,,,,,21.243434
,,,0.007424,58.0,4.0,21.530618
,,,0.001696,53.0,1.0,21.581246
0.006784,,,,,,21.581246
,,,0.007424,58.0,4.0,31.281237
0.006784,,,,,,34.103637
,,,0.006784,53.0,4.0,34.156199
0.006784,,,,,,34.156199
,0.0768,,,,,39.424717
,,,0.007424,58.0,4.0,41.15687
,,,0.007424,58.0,4.0,51.157419
,,,0.004096,32.0,4.0,53.154672
,,,0.00512,32.0,5.0,55.280404
,0.0768,,,,,56.901415
,,,0.00512,32.0,5.0,57.281168
,,,0.004096,32.0,4.0,59.154245
,,,0.00512,32.0,5.0,61.279987
,,,0.001856,58.0,1.0,61.330819
,,,0.00512,32.0,5.0,63.28071
,,,0.00512,32.0,5.0,65.156443
0.006784,,,,,,66.587157
,,,0.006784,53.0,4.0,66.657211
0.006784,,,,,,66.657211
,,,0.004096,32.0,4.0,67.154612
,,,0.00512,32.0,5.0,69.280343
,,,0.007424,58.0,4.0,71.156795
,,,0.001024,32.0,1.0,71.206722
,,,0.00512,32.0,5.0,73.156686
,,,0.004096,32.0,4.0,75.154764
,,,0.00512,32.0,5.0,77.280543
,,,0.00512,32.0,5.0,79.156237
,,,0.004096,32.0,4.0,81.154306
,,,0.001856,58.0,1.0,81.205117
,,,0.00512,32.0,5.0,83.155038
,,,0.02048,32.0,20.0,95.530128
,,,0.001856,58.0,1.0,95.578043
,,,0.00512,32.0,5.0,96.15571
,,,0.001024,32.0,1.0,96.205611
,,,0.00512,32.0,5.0,97.156442
,,,0.004096,32.0,4.0,99.154519
,,,0.007424,58.0,4.0,101.280924
,,,0.001024,32.0,1.0,101.33082
0.006784,,,,,,108.540297
,,,0.003392,53.0,2.0,111.905495
0.006784,,,,,,111.905495
,,,0.001024,32.0,1.0,111.952462
,,,0.001024,32.0,1.0,112.000315
,,,0.00928,58.0,5.0,112.062174
,,,0.00512,32.0,5.0,113.280557
,,,0.00512,32.0,5.0,115.15629
,,,0.004096,32.0,4.0,117.154367
,,,0.00512,32.0,5.0,119.155099
,,,0.007424,58.0,4.0,121.281473
,,,0.001024,32.0,1.0,121.331369
,,,0.00512,32.0,5.0,123.156381
,,,0.004096,32.0,4.0,125.154458
,0.0768,,,,,125.409119
,,,0.00512,32.0,5.0,127.15519
,,,0.004096,32.0,4.0,129.153298
,,,0.006144,32.0,6.0,131.781656
,,,0.001856,58.0,1.0,131.832499
,,,0.004096,32.0,4.0,133.154734
,,,0.00512,32.0,5.0,135.280496
,,,0.00512,32.0,5.0,137.156197
,,,0.004096,32.0,4.0,139.154275
,,,0.00512,32.0,5.0,141.280009
,,,0.001856,58.0,1.0,141.330851
,,,0.026624,32.0,26.0,153.780406
,,,0.001024,32.0,1.0,153.827371
,,,0.007424,58.0,4.0,154.156686
,,,0.00512,32.0,5.0,154.656564
,,,0.004096,32.0,4.0,155.154642
,,,0.00512,32.0,5.0,157.280374
,,,0.00512,32.0,5.0,159.156137
,,,0.004096,32.0,4.0,161.154214
,,,0.001856,58.0,1.0,161.205056
,,,0.00512,32.0,5.0,163.154946
,,,0.00512,32.0,5.0,165.280709
,,,0.00512,32.0,5.0,167.156442
,,,0.004096,32.0,4.0,169.154519
,,,0.00512,32.0,5.0,171.280268
,,,0.001856,58.0,1.0,171.331095
,,,0.004096,32.0,4.0,173.153329
,,,0.00512,32.0,5.0,175.154062
,,,0.00512,32.0,5.0,177.154794
,,,0.00512,32.0,5.0,179.280557
,,,0.00512,32.0,5.0,181.531259
,,,0.001856,58.0,1.0,181.582102
,,,0.004096,32.0,4.0,183.154336
,,,0.00512,32.0,5.0,185.1551
,,,0.007424,58.0,4.0,196.781533
,,,0.001024,32.0,1.0,196.831444
,,,0.00512,32.0,5.0,197.406442
,,,0.001024,32.0,1.0,197.456342
,,,0.004096,32.0,4.0,199.154519
