time,mote_id,node,strobes,message_type,message,tx,rx,size
0.149633,,3,,energy,,0.0,0.0,
0.150666,,11,,energy,,0.0,0.0,
0.253669,,7,,energy,,0.0,0.0,
0.266307,,8,,energy,,0.0,0.0,
0.288586,,3,,energy,,0.0,0.0,
0.289785,,11,,energy,,0.0,0.0,
0.318899,,14,,energy,,0.0,0.0,
0.332449,,2,,energy,,0.0,0.0,
0.336148,,5,,energy,,0.0,0.0,
0.358011,,12,,energy,,0.0,0.0,
0.372839,,20,,energy,,0.0,0.0,
0.392622,,7,,energy,,0.0,0.0,
0.40526,,8,,energy,,0.0,0.0,
0.458018,,14,,energy,,0.0,0.0,
0.465624,,13,,energy,,0.0,0.0,
0.471402,,2,,energy,,0.0,0.0,
0.475101,,5,,energy,,0.0,0.0,
0.49713,,12,,energy,,0.0,0.0,
0.511959,,20,,energy,,0.0,0.0,
0.538586,,3,,energy,,0.0,0.0,
0.539785,,11,,energy,,0.0,0.0,
0.593921,,6,,energy,,0.0,0.0,
0.604744,,13,,energy,,0.0,0.0,
0.642622,,7,,energy,,0.0,0.0,
0.65526,,8,,energy,,0.0,0.0,
0.663586,,3,,energy,,0.0,0.0,
0.664785,,11,,energy,,0.0,0.0,
0.687495,,19,,energy,,0.0,0.0,
0.708018,,14,,energy,,0.0,0.0,
0.721402,,2,,energy,,0.0,0.0,
0.725101,,5,,energy,,0.0,0.0,
0.728947,,17,,energy,,0.0,0.0,
0.732874,,6,,energy,,0.0,0.0,
0.74713,,12,,energy,,0.0,0.0,
0.749218,,1,,energy,,0.0,0.0,
0.761959,,20,,energy,,0.0,0.0,
0.767622,,7,,energy,,0.0,0.0,
0.78026,,8,,energy,,0.0,0.0,
0.788586,,3,,energy,,0.0,0.0,
0.789785,,11,,energy,,0.0,0.0,
0.805073,,16,,energy,,0.0,0.0,
0.826614,,19,,energy,,0.0,0.0,
0.833018,,14,,energy,,0.0,0.0,
0.846402,,2,,energy,,0.0,0.0,
0.850101,,5,,energy,,0.0,0.0,
0.854744,,13,,energy,,0.0,0.0,
0.868067,,17,,energy,,0.0,0.0,
0.87213,,12,,energy,,0.0,0.0,
0.886958,,20,,energy,,0.0,0.0,
0.892622,,7,,energy,,0.0,0.0,
0.90526,,8,,energy,,0.0,0.0,
0.913586,,3,,energy,,0.0,0.0,
0.914785,,11,,energy,,0.0,0.0,
0.919146,,10,,energy,,0.0,0.0,
0.944192,,16,,energy,,0.0,0.0,
0.946673,,18,,energy,,0.0,0.0,
0.958018,,14,,energy,,0.0,0.0,
0.971402,,2,,energy,,0.0,0.0,
0.975101,,5,,energy,,0.0,0.0,
0.979743,,13,,energy,,0.0,0.0,
0.982874,,6,,energy,,0.0,0.0,
0.987806,,4,,energy,,0.0,0.0,
0.995981,,21,,energy,,0.0,0.0,
0.99713,,12,,energy,,0.0,0.0,
1.011958,,20,,energy,,0.0,0.0,
1.017622,,7,,energy,,0.0,0.0,
1.03026,,8,,energy,,0.0,0.0,
1.038586,,3,,energy,,0.0,0.0,
1.039786,,11,,energy,,0.0,0.0,
1.058266,,10,,energy,,0.0,0.0,
1.076614,,19,,energy,,0.0,0.0,
1.083018,,14,,energy,,0.0,0.0,
1.085793,,18,,energy,,0.0,0.0,
1.088299,,15,,energy,,0.0,0.0,
1.096402,,2,,energy,,0.0,0.0,
1.100101,,5,,energy,,0.0,0.0,
1.104743,,13,,energy,,0.0,0.0,
1.107874,,6,,energy,,0.0,0.0,
1.118067,,17,,energy,,0.0,0.0,
1.12213,,12,,energy,,0.0,0.0,
1.135101,,21,,energy,,0.0,0.0,
1.136959,,20,,energy,,0.0,0.0,
1.142622,,7,,energy,,0.0,0.0,
1.170292,3,3,,dis,,,,
1.171194,11,11,,dis,,,,
1.194192,,16,,energy,,0.0,0.0,
1.205487,,4,,energy,,0.0,0.0,
1.205487,,10,,energy,,0.0,0.0,
1.205681,,1,,energy,,0.0,0.00883,
1.205681,,9,,energy,,0.0,0.0,
1.205681,,8,,energy,,0.0,0.0,
1.205952,,19,,energy,,0.0,0.002207,
1.206037,,11,,energy,,0.008828,0.0,
1.206129,,3,,energy,,0.009278,0.0,
1.208019,,14,,energy,,0.0,0.0,
1.225101,,5,,energy,,0.0,0.0,
1.229744,,13,,energy,,0.0,0.0,
1.243066,,17,,energy,,0.0,0.0,
1.247131,,12,,energy,,0.0,0.0,
1.261959,,20,,energy,,0.0,0.0,
1.27433,7,7,,dis,,,,
1.287112,8,8,,dis,,,,
1.301945,,15,,energy,,0.0,0.0,
1.301945,,6,,energy,,0.0,0.0,
1.301945,,2,,energy,,0.0,0.0,
1.301954,,10,,energy,,0.0,0.0,
1.301954,,4,,energy,,0.0,0.0,
1.301954,,19,,energy,,0.0,0.002207,
1.302148,,1,,energy,,0.0,0.072834,
1.302148,,8,,energy,,0.0,0.007476,
1.302148,,9,,energy,,0.0,0.002207,
1.302496,,7,,energy,,0.004414,0.0,
1.302503,,11,,energy,,0.072834,0.0,
1.302531,,3,,energy,,0.073217,0.0,
1.321913,,10,,energy,,0.0,0.002207,
1.321988,,11,,energy,,0.086078,0.0,
1.326615,,19,,energy,,0.0,0.002207,
1.335793,,18,,energy,,0.0,0.0,
1.339427,14,14,,dis,,,,
1.356809,5,5,,dis,,,,
1.368066,,17,,energy,,0.0,0.0,
1.376759,,4,,energy,,0.0,0.0,
1.378539,12,12,,dis,,,,
1.380086,2,2,,dis,,,,
1.385101,,21,,energy,,0.0,0.0,
1.386959,,20,,energy,,0.0,0.0,
1.393369,20,20,,dis,,,,
1.39885,,13,,energy,,0.0,0.0,
1.39885,,12,,energy,,0.0,0.000204,
1.39885,,1,,energy,,0.0,0.09932,
1.399531,,2,,energy,,0.0,0.002345,
1.399531,,15,,energy,,0.0,0.0,
1.399535,,9,,energy,,0.0,0.002207,
1.399535,,16,,energy,,0.0,0.0,
1.399535,,3,,energy,,0.086076,0.0,
1.400331,,6,,energy,,0.0,0.001921,
1.400407,,14,,energy,,0.026483,0.0,
1.400672,,5,,energy,,0.015066,0.0,
1.400683,,7,,energy,,0.069574,0.0,
1.400686,,8,,energy,,0.043088,0.007476,
1.414786,,11,,energy,,0.086078,0.0,
1.4251,,7,,energy,,0.08608,0.0,
1.433266,,10,,energy,,0.0,0.002207,
1.451615,,19,,energy,,0.0,0.002207,
1.460792,,18,,energy,,0.0,0.0,
1.464943,,16,,energy,,0.0,0.002207,
1.464943,,3,,energy,,0.086076,0.002207,
1.464943,,9,,energy,,0.0,0.002207,
1.465018,,8,,energy,,0.086079,0.007476,
1.471402,,2,,energy,,0.0,0.002345,
1.477418,,15,,energy,,0.0,0.0,
1.486231,13,13,,dis,,,,
1.490146,,6,,energy,,0.0,0.004128,
1.490221,,14,,energy,,0.086078,0.0,
1.493067,,17,,energy,,0.0,0.0,
1.501759,,4,,energy,,0.0,0.0,
1.501969,,12,,energy,,0.0,0.000212,
1.501969,,1,,energy,,0.0,0.167742,
1.501969,,13,,energy,,0.0,0.006858,
1.502129,,5,,energy,,0.081826,0.0,
1.502152,,20,,energy,,0.057576,0.0,
1.507502,,1,,energy,,0.0,0.172156,
1.517541,,9,,energy,,0.0,0.002207,
1.517622,,7,,energy,,0.08608,0.0,
1.53026,,8,,energy,,0.086079,0.007476,
1.538586,,3,,energy,,0.086076,0.002207,
1.539786,,11,,energy,,0.086078,0.0,
1.544161,,20,,energy,,0.086075,0.0,
1.558266,,10,,energy,,0.0,0.002207,
1.569193,,16,,energy,,0.0,0.002207,
1.576615,,19,,energy,,0.0,0.002207,
1.583019,,14,,energy,,0.086078,0.0,
1.585792,,18,,energy,,0.0,0.0,
1.596402,,2,,energy,,0.0,0.002345,
1.602418,,15,,energy,,0.0,0.0,
1.605336,,5,,energy,,0.08608,0.002208,
1.605336,,12,,energy,,0.0,0.000212,
1.605336,,21,,energy,,0.0,0.0,
1.606899,,6,,energy,,0.0,0.004128,
1.606999,,13,,energy,,0.04801,0.006858,
1.614572,6,6,,dis,,,,
1.618067,,17,,energy,,0.0,0.0,
1.626759,,4,,energy,,0.0,0.0,
1.636959,,20,,energy,,0.086075,0.0,
1.642541,,9,,energy,,0.0,0.002207,
1.65526,,8,,energy,,0.086079,0.007476,
1.663586,,3,,energy,,0.086076,0.002207,
1.66409,,12,,energy,,0.0,0.011988,
1.66409,,5,,energy,,0.08608,0.002208,
1.66409,,21,,energy,,0.0,0.002206,
1.664165,,13,,energy,,0.086072,0.006858,
1.664786,,11,,energy,,0.086078,0.0,
1.683266,,10,,energy,,0.0,0.002207,
1.694193,,16,,energy,,0.0,0.002207,
1.699866,,2,,energy,,0.0,0.002345,
1.699866,,7,,energy,,0.08608,0.002208,
1.699866,,14,,energy,,0.086078,0.0,
1.701216,,19,,energy,,0.0,0.002207,
1.701273,,6,,energy,,0.043343,0.004128,
1.708014,19,19,,dis,,,,
1.710793,,18,,energy,,0.0,0.0,
1.727418,,15,,energy,,0.0,0.0,
1.749477,17,17,,dis,,,,
1.751759,,4,,energy,,0.0,0.0,
1.760101,,21,,energy,,0.0,0.002206,
1.765275,,14,,energy,,0.086078,0.002207,
1.765275,,2,,energy,,0.0,0.004552,
1.765352,,6,,energy,,0.086076,0.004128,
1.767622,,7,,energy,,0.08608,0.002208,
1.78026,,8,,energy,,0.086079,0.007476,
1.788586,,3,,energy,,0.086076,0.002207,
1.801312,,5,,energy,,0.08608,0.002208,
1.801312,,20,,energy,,0.086075,0.0,
1.801312,,13,,energy,,0.086072,0.006858,
1.801519,,9,,energy,,0.0,0.002207,
1.80216,,11,,energy,,0.086078,0.002207,
1.802236,,19,,energy,,0.048557,0.002207,
1.802463,,12,,energy,,0.014392,0.011988,
1.802479,,17,,energy,,0.020822,0.0,
1.808266,,10,,energy,,0.0,0.002207,
1.825597,16,16,,dis,,,,
1.833019,,14,,energy,,0.086078,0.002207,
1.835793,,18,,energy,,0.0,0.0,
1.846402,,2,,energy,,0.0,0.004552,
1.852418,,15,,energy,,0.0,0.0,
1.857874,,6,,energy,,0.086076,0.004128,
1.858711,,11,,energy,,0.086078,0.002207,
1.858787,,19,,energy,,0.086077,0.002207,
1.876759,,4,,energy,,0.0,0.0,
1.8851,,21,,energy,,0.0,0.002206,
1.892622,,7,,energy,,0.08608,0.002208,
1.899984,,5,,energy,,0.08608,0.004415,
1.899984,,13,,energy,,0.086072,0.011273,
1.899984,,20,,energy,,0.086075,0.002207,
1.900194,,9,,energy,,0.0,0.006621,
1.900269,,17,,energy,,0.086075,0.0,
1.900879,,12,,energy,,0.079457,0.011988,
1.9009,,8,,energy,,0.086079,0.007476,
1.901028,,16,,energy,,0.035443,0.002207,
1.909963,,20,,energy,,0.086075,0.002207,
1.913586,,3,,energy,,0.086076,0.002207,
1.939677,10,10,,dis,,,,
1.951614,,19,,energy,,0.086077,0.002207,
1.958018,,14,,energy,,0.086078,0.002207,
1.967203,18,18,,dis,,,,
1.975101,,5,,energy,,0.08608,0.004415,
1.976289,,8,,energy,,0.086079,0.009742,
1.976365,,16,,energy,,0.086077,0.002207,
1.977419,,15,,energy,,0.0,0.0,
1.979744,,13,,energy,,0.086072,0.011273,
1.993067,,17,,energy,,0.086075,0.0,
1.99713,,12,,energy,,0.086079,0.011988,
1.998372,,4,,energy,,0.0,0.0,
1.998372,,11,,energy,,0.086078,0.002207,
1.998372,,18,,energy,,0.0,0.0,
1.999978,,7,,energy,,0.08608,0.002208,
1.999978,,6,,energy,,0.086076,0.006335,
1.999978,,1,,energy,,0.0,0.209676,
2.000323,,10,,energy,,0.026227,0.002207,
2.000329,,2,,energy,,0.037871,0.004552,
2.008467,4,4,,dis,,,,
2.011959,,20,,energy,,0.086075,0.002207,
2.016505,21,21,,dis,,,,
2.017541,,9,,energy,,0.0,0.006621,
2.03026,,8,,energy,,0.086079,0.009742,
2.038586,,3,,energy,,0.086076,0.002207,
2.069193,,16,,energy,,0.086077,0.002207,
2.07204,,1,,energy,,0.0,0.258232,
2.07204,,6,,energy,,0.086076,0.006335,
