frame.time_relative,frame.len,wpan.src64,wpan.dst64,icmpv6.type,ipv6.src,ipv6.dst,icmpv6.code,data.data
0.000000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
0.007000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
1.537000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
1.539000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
1.541000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
1.543000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
3.121000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
3.131000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
3.134000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
3.135000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
3.136000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
3.161000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
4.337000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
4.338000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
4.339000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
4.340000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
4.341000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
4.359000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
4.360000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
4.361000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
4.361000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
5.656000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
5.658000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
5.662000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
5.674000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
5.675000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
5.685000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
6.951000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
6.954000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
6.955000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
6.987000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
6.988000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
6.989000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
6.995000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
7.000000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
7.001000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
8.512000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
8.513000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
8.519000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
8.522000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
8.528000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
8.529000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
10.023000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
10.024000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
10.025000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
10.033000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
10.043000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
10.055000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
10.075000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
10.076000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
10.948000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
10.971000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
10.972000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
10.980000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
10.981000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
11.004000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
11.005000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
11.014000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
12.329000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
12.346000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
12.363000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
12.383000000,64,00:00:00:00:00:00:00:0b,,155,fe80::200:0:0:b,ff02::1a,0,
12.394000000,64,00:00:00:00:00:00:00:03,,155,fe80::200:0:0:3,ff02::1a,0,
12.416000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
