message,departure_time,arrival_time
         1,41.969607,48.730424
         2,43.969603,50.281146
         3,45.974017,
         4,47.96962,50.47499
         5,49.969624,53.27704
         6,51.969604,
         7,53.969598,55.070206
         8,55.969623,57.279582
         9,57.969609,58.953034
        10,59.96962,
        11,61.969623,
        12,63.969629,
        13,65.969637,70.461489
        14,67.969634,70.951358
        15,69.969627,72.034024
        16,71.969623,73.070563
        17,73.969648,75.001014
        18,75.969618,76.549515
        19,77.969642,78.615277
        20,79.96962,81.798712
        21,81.969648,
        22,83.969641,84.648071
        23,85.969643,86.687849
        24,87.969644,88.492678
        25,89.969638,92.087192
        26,91.969649,
        27,94.023522,
        28,96.023329,
        29,97.969648,115.092714
        30,99.969637,115.211265
        31,101.969639,116.552818
        32,103.969621,117.272262
        33,106.12694,117.985318
        34,107.969649,
        35,109.969626,
        36,111.96962,
        37,113.969632,
        38,115.969625,
        39,117.96962,125.79691
        40,119.969646,126.291116
        41,122.041282,
        42,123.969636,
        43,126.023468,
        44,127.969633,130.509749
        45,129.969646,131.271193
        46,131.969628,132.837438
        47,133.969624,135.198408
        48,135.969634,136.894625
        49,137.969647,138.624279
        50,139.969619,141.316568
        51,141.96964,
        52,144.023332,
        53,145.96964,152.137983
        54,148.041298,153.180833
        55,149.969629,153.667391
        56,151.969639,154.505311
        57,153.96964,157.071952
        58,155.969629,158.635736
        59,157.96965,158.878306
        60,159.969629,160.980246
        61,161.969633,163.299903
        62,163.969619,164.537846
        63,165.969642,166.912866
        64,167.969647,168.548119
        65,169.969632,170.679383
        66,171.969621,173.001699
        67,173.969649,175.640182
        68,175.969626,
        69,177.96965,185.445144
        70,179.969641,186.107302
        71,181.969629,187.338337
        72,183.969628,187.783407
        73,185.974035,188.6416
        74,187.969619,189.501976
        75,189.969642,190.931802
        76,191.96965,193.104748
        77,193.969629,194.391154
        78,195.969632,196.580635
        79,197.969643,198.373847
        80,199.969626,
