time,mote_id,message,message_type,source,destination
7.658746,8,H1,data,2,
8.267114,8,H2,data,10,
8.800457,8,H1,data,4,
9.498088,8,H2,data,2,
10.854507,8,H3,data,10,
11.262362,8,H2,data,4,
11.277461,8,H4,data,14,
11.594641,8,H3,data,2,
11.628009,8,H3,data,6,
12.950764,8,H4,data,10,
12.983862,8,H4,data,6,
13.349349,8,H3,data,4,
13.356964,8,H5,data,14,
13.566308,8,H4,data,2,
14.714966,8,H4,data,4,
14.806784,8,H5,data,10,
15.205571,8,H5,data,12,
15.219884,8,H6,data,14,
15.547056,8,H5,data,2,
15.695828,8,H5,data,6,
15.936244,8,H6,data,12,
16.301617,8,H5,data,4,
16.662701,8,H6,data,10,
16.782918,8,H7,data,14,
16.898114,8,H6,data,6,
17.643527,8,H6,data,2,
18.129364,8,H7,data,12,
18.369646,8,H6,data,4,
19.360337,8,H8,data,14,
19.367661,8,H7,data,6,
19.624729,8,H7,data,10,
19.631838,8,H7,data,2,
19.850842,8,H8,data,12,
20.466179,8,H7,data,4,
20.740113,8,H8,data,10,
21.445192,8,H9,data,14,
21.480541,8,H8,data,2,
22.461536,8,H9,data,10,
22.552314,8,H9,data,12,
22.566057,8,H8,data,4,
22.784339,8,H10,data,14,
23.524636,8,H8,data,6,
23.539252,8,H9,data,6,
23.576886,8,H9,data,2,
23.765305,8,H10,data,12,
24.255413,8,H9,data,4,
24.442645,8,H10,data,10,
25.246475,8,H11,data,14,
25.253716,8,H10,data,6,
25.558107,8,H10,data,2,
26.487011,8,H11,data,12,
26.50188,8,H10,data,4,
26.9237,8,H11,data,10,
27.10239,8,H12,data,14,
27.111281,8,H11,data,6,
27.538989,8,H11,data,2,
27.84276,8,H12,data,12,
28.333048,8,H11,data,4,
28.823753,8,H13,data,14,
29.064068,8,H12,data,6,
29.154524,8,H12,data,10,
29.519821,8,H12,data,2,
29.804762,8,H13,data,12,
30.285491,8,H12,data,4,
30.893069,8,H13,data,10,
31.488544,8,H14,data,14,
31.51046,8,H13,data,6,
31.748824,8,H13,data,2,
32.344076,8,H13,data,4,
32.709689,8,H14,data,12,
32.950156,8,H14,data,6,
33.097718,8,H14,data,10,
33.448506,8,H15,data,14,
33.587926,8,H14,data,2,
33.806393,8,H15,data,12,
34.296628,8,H14,data,4,
34.453516,8,H15,data,10,
34.912149,8,H15,data,6,
35.027735,8,H16,data,14,
35.559286,8,H15,data,2,
35.76828,8,H16,data,12,
36.258434,8,H15,data,4,
36.549956,8,H16,data,10,
36.999252,8,H17,data,14,
37.006419,8,H16,data,6,
37.540258,8,H16,data,2,
38.53097,8,H17,data,10,
38.538139,8,H1,data,15,
38.738408,8,H1,data,11,
38.745384,8,H17,data,12,
38.752629,8,H1,data,13,
38.759941,8,H16,data,4,
39.095927,8,H17,data,6,
39.103475,8,H18,data,14,
39.521164,8,H17,data,2,
39.586164,8,H1,data,9,
40.074975,8,H2,data,13,
40.432767,8,H17,data,4,
40.440136,8,H1,data,7,
40.455457,8,H18,data,12,
40.461898,8,H1,data,3,
40.769088,8,H1,data,5,
40.776754,8,H18,data,10,
40.783979,8,H2,data,15,
40.913715,8,H1,data,1,
41.884632,8,H18,data,2,
41.891736,8,H2,data,5,
41.904294,8,H2,data,11,
41.919023,8,H18,data,6,
41.948877,8,H19,data,14,
42.144619,8,H3,data,13,
42.510194,8,H18,data,4,
42.517851,8,H19,data,12,
42.52494,8,H2,data,3,
42.532282,8,H3,data,11,
42.625292,8,H19,data,10,
43.108199,8,H3,data,15,
43.250764,8,H20,data,14,
43.257878,8,H2,data,1,
43.265305,8,H19,data,6,
43.598744,8,H19,data,2,
43.615961,8,H3,data,9,
43.839235,8,H3,data,5,
44.23158,8,H3,data,7,
44.239155,8,H4,data,13,
44.246607,8,H20,data,12,
44.471928,8,H3,data,3,
44.712491,8,H19,data,4,
44.828138,8,H21,data,14,
44.943307,8,H3,data,1,
45.184049,8,H4,data,11,
45.191579,8,H20,data,6,
