time,mote_id,node,message_type,message,tx,rx,size
0.0,,8,energy,,0.0,0.0,
0.0,,1,energy,,0.0,0.0,
0.0,,10,energy,,0.0,0.0,
0.0,,13,energy,,0.0,0.0,
0.0,,7,energy,,0.0,0.0,
0.0,,18,energy,,0.0,0.0,
0.0,,19,energy,,0.0,0.0,
0.0,,11,energy,,0.0,0.0,
0.0,,14,energy,,0.0,0.0,
0.0,,6,energy,,0.0,0.0,
0.0,,21,energy,,0.0,0.0,
0.0,,3,energy,,0.0,0.0,
0.0,,12,energy,,0.0,0.0,
0.0,,2,energy,,0.0,0.0,
0.0,,16,energy,,0.0,0.0,
0.0,,15,energy,,0.0,0.0,
0.0,,17,energy,,0.0,0.0,
0.0,,5,energy,,0.0,0.0,
0.0,,20,energy,,0.0,0.0,
0.0,,9,energy,,0.0,0.0,
0.0,,4,energy,,0.0,0.0,
0.148983,,3,energy,,0.0,0.0,
0.150016,,11,energy,,0.0,0.0,
0.253019,,7,energy,,0.0,0.0,
0.265657,,8,energy,,0.0,0.0,
0.287936,,3,energy,,0.0,0.0,
0.289134,,11,energy,,0.0,0.0,
0.318249,,14,energy,,0.0,0.0,
0.331799,,2,energy,,0.0,0.0,
0.335498,,5,energy,,0.0,0.0,
0.357361,,12,energy,,0.0,0.0,
0.372189,,20,energy,,0.0,0.0,
0.391972,,7,energy,,0.0,0.0,
0.40421,,8,energy,,0.0,0.0,
0.40461,,8,energy,,0.0,0.0,
0.457367,,14,energy,,0.0,0.0,
0.464974,,13,energy,,0.0,0.0,
0.470752,,2,energy,,0.0,0.0,
0.474451,,5,energy,,0.0,0.0,
0.496479,,12,energy,,0.0,0.0,
0.511307,,20,energy,,0.0,0.0,
0.537935,,3,energy,,0.0,0.0,
0.539135,,11,energy,,0.0,0.0,
0.593271,,6,energy,,0.0,0.0,
0.604092,,13,energy,,0.0,0.0,
0.641971,,7,energy,,0.0,0.0,
0.654609,,8,energy,,0.0,0.0,
0.662935,,3,energy,,0.0,0.0,
0.664134,,11,energy,,0.0,0.0,
0.686845,,19,energy,,0.0,0.0,
0.707368,,14,energy,,0.0,0.0,
0.720751,,2,energy,,0.0,0.0,
0.72445,,5,energy,,0.0,0.0,
0.728297,,17,energy,,0.0,0.0,
0.732224,,6,energy,,0.0,0.0,
0.74648,,12,energy,,0.0,0.0,
0.749218,,1,energy,,0.0,0.0,
0.761308,,20,energy,,0.0,0.0,
0.766971,,7,energy,,0.0,0.0,
0.779609,,8,energy,,0.0,0.0,
0.787935,,3,energy,,0.0,0.0,
0.789135,,11,energy,,0.0,0.0,
0.804423,,16,energy,,0.0,0.0,
0.825963,,19,energy,,0.0,0.0,
0.832367,,14,energy,,0.0,0.0,
0.845751,,2,energy,,0.0,0.0,
0.84945,,5,energy,,0.0,0.0,
0.854093,,13,energy,,0.0,0.0,
0.867415,,17,energy,,0.0,0.0,
0.871479,,12,energy,,0.0,0.0,
0.886307,,20,energy,,0.0,0.0,
0.891971,,7,energy,,0.0,0.0,
0.904609,,8,energy,,0.0,0.0,
0.912935,,3,energy,,0.0,0.0,
0.914135,,11,energy,,0.0,0.0,
0.918496,,10,energy,,0.0,0.0,
0.943541,,16,energy,,0.0,0.0,
0.946023,,18,energy,,0.0,0.0,
0.957368,,14,energy,,0.0,0.0,
0.970751,,2,energy,,0.0,0.0,
0.97445,,5,energy,,0.0,0.0,
0.979092,,13,energy,,0.0,0.0,
0.982223,,6,energy,,0.0,0.0,
0.987156,,4,energy,,0.0,0.0,
0.995331,,21,energy,,0.0,0.0,
0.99648,,12,energy,,0.0,0.0,
1.011308,,20,energy,,0.0,0.0,
1.016971,,7,energy,,0.0,0.0,
1.029609,,8,energy,,0.0,0.0,
1.037935,,3,energy,,0.0,0.0,
1.039135,,11,energy,,0.0,0.0,
1.057614,,10,energy,,0.0,0.0,
1.075964,,19,energy,,0.0,0.0,
1.082368,,14,energy,,0.0,0.0,
1.085141,,18,energy,,0.0,0.0,
1.087649,,15,energy,,0.0,0.0,
1.095751,,2,energy,,0.0,0.0,
1.09945,,5,energy,,0.0,0.0,
1.169633,3,,rpl,,,,
1.170517,11,,rpl,,,,
1.192886,1,,mac_reception,,,,
1.200571,,16,energy,,0.0,0.002266,
1.200571,,12,energy,,0.0,0.0,
1.200571,,10,energy,,0.0,0.0,
1.200571,,15,energy,,0.0,0.0,
1.200571,,17,energy,,0.0,0.0,
1.200571,,20,energy,,0.0,0.0,
1.200571,,21,energy,,0.0,0.0,
1.200571,,5,energy,,0.0,0.0,
1.200571,,9,energy,,0.0,0.0,
1.200571,,2,energy,,0.0,0.0,
1.200571,,6,energy,,0.0,0.0,
1.200571,,13,energy,,0.0,0.0,
1.200571,,1,energy,,0.0,0.011037,
1.200571,,4,energy,,0.0,0.0,
1.200571,,7,energy,,0.0,0.0,
1.200571,,8,energy,,0.0,0.0,
1.200571,,14,energy,,0.0,0.0,
1.200571,,18,energy,,0.0,0.0,
1.200571,,19,energy,,0.0,0.0,
1.200718,,11,energy,,0.006623,0.0,
1.201755,,3,energy,,0.005598,0.004415,
1.201766,16,,mac_reception,,,,
1.206982,19,,mac_reception,,,,
1.20785,1,,mac_reception,,,,
1.214891,14,,mac_reception,,,,
1.226009,2,,mac_reception,,,,
1.231191,5,,mac_reception,,,,
1.233861,15,,mac_reception,,,,
1.237171,13,,mac_reception,,,,
1.239807,6,,mac_reception,,,,
1.250143,17,,mac_reception,,,,
1.25285,12,,mac_reception,,,,
1.266613,20,,mac_reception,,,,
1.273765,7,,rpl,,,,
1.275157,9,,mac_reception,,,,
1.278287,7,,mac_reception,,,,
1.285649,8,,mac_reception,,,,
1.295672,8,,rpl,,,,
1.298205,,7,energy,,0.0,0.005004,
1.298205,,4,energy,,0.0,0.0,
1.298205,,16,energy,,0.0,0.002266,
1.298205,,10,energy,,0.0,0.0,
1.298205,,18,energy,,0.0,0.0,
1.298205,,17,energy,,0.0,0.004414,
1.298205,,21,energy,,0.0,0.0,
1.298205,,6,energy,,0.0,0.002286,
1.298205,,8,energy,,0.0,0.002207,
1.298205,,9,energy,,0.0,0.002271,
1.298205,,20,energy,,0.0,0.002321,
1.298205,,13,energy,,0.0,0.002253,
1.298205,,12,energy,,0.0,0.002208,
1.298205,,5,energy,,0.0,0.002214,
1.298205,,15,energy,,0.0,0.002208,
1.298205,,19,energy,,0.0,0.002264,
1.298205,,2,energy,,0.0,0.00228,
1.298205,,14,energy,,0.0,0.002207,
1.298205,,1,energy,,0.0,0.090494,
1.298243,,3,energy,,0.039725,0.01545,
1.299996,,11,energy,,0.05256,0.0,
1.31574,10,,mac_reception,,,,
1.338753,14,,rpl,,,,
1.352455,2,,rpl,,,,
1.356132,5,,rpl,,,,
1.365336,1,,mac_reception,,,,
1.365496,6,,mac_reception,,,,
1.375482,17,,mac_reception,,,,
1.377941,12,,rpl,,,,
