time,length,mac_src,mac_dst,icmpv6_type,ip_src,ip_dst,icmp_code,payload,forwarding
0.0,64,3.0,,rpl,3,ff02::1a,dis,,False
0.0006000000000000001,64,11.0,,rpl,11,ff02::1a,dis,,False
0.2742,64,3.0,,rpl,3,ff02::1a,dis,,False
0.2768,64,11.0,,rpl,11,ff02::1a,dis,,False
0.2822,64,3.0,,rpl,3,ff02::1a,dis,,False
0.5862,64,11.0,,rpl,11,ff02::1a,dis,,False
0.5948,64,3.0,,rpl,3,ff02::1a,dis,,False
0.5964,64,11.0,,rpl,11,ff02::1a,dis,,False
0.5968,64,3.0,,rpl,3,ff02::1a,dis,,False
0.597,64,11.0,,rpl,11,ff02::1a,dis,,False
0.5993999999999999,64,3.0,,rpl,3,ff02::1a,dis,,False
0.5996,64,11.0,,rpl,11,ff02::1a,dis,,False
0.6,64,3.0,,rpl,3,ff02::1a,dis,,False
0.9148,64,11.0,,rpl,11,ff02::1a,dis,,False
0.9188000000000001,64,3.0,,rpl,3,ff02::1a,dis,,False
0.9234,64,11.0,,rpl,11,ff02::1a,dis,,False
0.9236000000000001,64,3.0,,rpl,3,ff02::1a,dis,,False
0.9238,64,11.0,,rpl,11,ff02::1a,dis,,False
1.1228,64,3.0,,rpl,3,ff02::1a,dis,,False
1.124,64,11.0,,rpl,11,ff02::1a,dis,,False
1.1242,64,3.0,,rpl,3,ff02::1a,dis,,False
1.1266,64,11.0,,rpl,11,ff02::1a,dis,,False
1.127,64,3.0,,rpl,3,ff02::1a,dis,,False
1.1286,64,11.0,,rpl,11,ff02::1a,dis,,False
1.1292,64,3.0,,rpl,3,ff02::1a,dis,,False
1.1314,64,11.0,,rpl,11,ff02::1a,dis,,False
1.3146,64,3.0,,rpl,3,ff02::1a,dis,,False
1.316,64,11.0,,rpl,11,ff02::1a,dis,,False
1.3176,64,3.0,,rpl,3,ff02::1a,dis,,False
1.318,64,11.0,,rpl,11,ff02::1a,dis,,False
1.5952,64,3.0,,rpl,3,ff02::1a,dis,,False
1.599,64,11.0,,rpl,11,ff02::1a,dis,,False
1.5992000000000002,64,3.0,,rpl,3,ff02::1a,dis,,False
1.6074000000000002,64,11.0,,rpl,11,ff02::1a,dis,,False
1.9154,64,3.0,,rpl,3,ff02::1a,dis,,False
1.9204,64,11.0,,rpl,11,ff02::1a,dis,,False
1.9216000000000002,64,3.0,,rpl,3,ff02::1a,dis,,False
1.9234000000000002,64,11.0,,rpl,11,ff02::1a,dis,,False
1.9248,64,3.0,,rpl,3,ff02::1a,dis,,False
1.9271999999999998,64,11.0,,rpl,11,ff02::1a,dis,,False
1.9276,64,3.0,,rpl,3,ff02::1a,dis,,False
1.9282,64,11.0,,rpl,11,ff02::1a,dis,,False
2.2687999999999997,64,3.0,,rpl,3,ff02::1a,dis,,False
2.269,64,11.0,,rpl,11,ff02::1a,dis,,False
2.2692,64,3.0,,rpl,3,ff02::1a,dis,,False
2.2694,64,11.0,,rpl,11,ff02::1a,dis,,False
2.2792000000000003,64,3.0,,rpl,3,ff02::1a,dis,,False
2.2794,64,11.0,,rpl,11,ff02::1a,dis,,False
2.2796,64,3.0,,rpl,3,ff02::1a,dis,,False
2.2814,64,11.0,,rpl,11,ff02::1a,dis,,False
2.5222,64,3.0,,rpl,3,ff02::1a,dis,,False
2.5232,64,11.0,,rpl,11,ff02::1a,dis,,False
2.5236,64,3.0,,rpl,3,ff02::1a,dis,,False
2.5242,64,11.0,,rpl,11,ff02::1a,dis,,False
2.5254000000000003,64,3.0,,rpl,3,ff02::1a,dis,,False
2.5262000000000002,64,11.0,,rpl,11,ff02::1a,dis,,False
2.528,64,3.0,,rpl,3,ff02::1a,dis,,False
2.5288,64,11.0,,rpl,11,ff02::1a,dis,,False
2.5298,64,3.0,,rpl,3,ff02::1a,dis,,False
2.5308,64,11.0,,rpl,11,ff02::1a,dis,,False
2.7946,64,3.0,,rpl,3,ff02::1a,dis,,False
2.809,64,11.0,,rpl,11,ff02::1a,dis,,False
2.8091999999999997,64,3.0,,rpl,3,ff02::1a,dis,,False
2.8094,64,11.0,,rpl,11,ff02::1a,dis,,False
2.8096,64,7.0,,rpl,7,ff02::1a,dis,,False
2.81,64,3.0,,rpl,3,ff02::1a,dis,,False
2.8102,64,11.0,,rpl,11,ff02::1a,dis,,False
2.8112,64,7.0,,rpl,7,ff02::1a,dis,,False
3.213,64,3.0,,rpl,3,ff02::1a,dis,,False
3.2134,64,11.0,,rpl,11,ff02::1a,dis,,False
3.2176,64,7.0,,rpl,7,ff02::1a,dis,,False
3.2177999999999995,64,3.0,,rpl,3,ff02::1a,dis,,False
3.218,64,11.0,,rpl,11,ff02::1a,dis,,False
3.2182000000000004,64,7.0,,rpl,7,ff02::1a,dis,,False
3.2236,64,3.0,,rpl,3,ff02::1a,dis,,False
3.5450000000000004,64,11.0,,rpl,11,ff02::1a,dis,,False
3.55,64,7.0,,rpl,7,ff02::1a,dis,,False
3.5531999999999995,64,3.0,,rpl,3,ff02::1a,dis,,False
3.5534,64,11.0,,rpl,11,ff02::1a,dis,,False
3.5536000000000003,64,7.0,,rpl,7,ff02::1a,dis,,False
3.5558,64,3.0,,rpl,3,ff02::1a,dis,,False
3.5606,64,11.0,,rpl,11,ff02::1a,dis,,False
3.5625999999999998,64,7.0,,rpl,7,ff02::1a,dis,,False
3.5628,64,3.0,,rpl,3,ff02::1a,dis,,False
3.563,64,11.0,,rpl,11,ff02::1a,dis,,False
3.5671999999999997,64,7.0,,rpl,7,ff02::1a,dis,,False
3.568,64,7.0,,rpl,7,ff02::1a,dis,,False
3.8482,64,7.0,,rpl,7,ff02::1a,dis,,False
3.8484000000000003,64,7.0,,rpl,7,ff02::1a,dis,,False
3.8486,64,7.0,,rpl,7,ff02::1a,dis,,False
3.8598,64,8.0,,rpl,8,ff02::1a,dis,,False
3.8600000000000003,64,7.0,,rpl,7,ff02::1a,dis,,False
3.8602,64,8.0,,rpl,8,ff02::1a,dis,,False
3.864,64,7.0,,rpl,7,ff02::1a,dis,,False
4.218999999999999,64,8.0,,rpl,8,ff02::1a,dis,,False
4.2204,64,7.0,,rpl,7,ff02::1a,dis,,False
4.2208,64,8.0,,rpl,8,ff02::1a,dis,,False
4.221,64,7.0,,rpl,7,ff02::1a,dis,,False
4.2212000000000005,64,8.0,,rpl,8,ff02::1a,dis,,False
4.2214,64,7.0,,rpl,7,ff02::1a,dis,,False
4.2248,64,8.0,,rpl,8,ff02::1a,dis,,False
4.2264,64,7.0,,rpl,7,ff02::1a,dis,,False
4.2278,64,8.0,,rpl,8,ff02::1a,dis,,False
4.228199999999999,64,7.0,,rpl,7,ff02::1a,dis,,False
4.5442,64,8.0,,rpl,8,ff02::1a,dis,,False
4.5446,64,7.0,,rpl,7,ff02::1a,dis,,False
4.5456,64,14.0,,rpl,14,ff02::1a,dis,,False
4.5472,64,8.0,,rpl,8,ff02::1a,dis,,False
4.5492,64,7.0,,rpl,7,ff02::1a,dis,,False
4.5496,64,14.0,,rpl,14,ff02::1a,dis,,False
4.549799999999999,64,8.0,,rpl,8,ff02::1a,dis,,False
4.5506,64,7.0,,rpl,7,ff02::1a,dis,,False
4.5531999999999995,64,14.0,,rpl,14,ff02::1a,dis,,False
4.5542,64,8.0,,rpl,8,ff02::1a,dis,,False
4.5552,64,7.0,,rpl,7,ff02::1a,dis,,False
4.555400000000001,64,14.0,,rpl,14,ff02::1a,dis,,False
4.5556,64,8.0,,rpl,8,ff02::1a,dis,,False
4.5558,64,7.0,,rpl,7,ff02::1a,dis,,False
4.5562,64,14.0,,rpl,14,ff02::1a,dis,,False
4.8134,64,8.0,,rpl,8,ff02::1a,dis,,False
4.8146,64,7.0,,rpl,7,ff02::1a,dis,,False
4.8172,64,14.0,,rpl,14,ff02::1a,dis,,False
4.818,64,5.0,,rpl,5,ff02::1a,dis,,False
4.8182,64,8.0,,rpl,8,ff02::1a,dis,,False
4.8202,64,7.0,,rpl,7,ff02::1a,dis,,False
4.8204,64,14.0,,rpl,14,ff02::1a,dis,,False
4.820600000000001,64,5.0,,rpl,5,ff02::1a,dis,,False
4.8208,64,8.0,,rpl,8,ff02::1a,dis,,False
4.827,64,7.0,,rpl,7,ff02::1a,dis,,False
4.8298000000000005,64,14.0,,rpl,14,ff02::1a,dis,,False
4.83,64,5.0,,rpl,5,ff02::1a,dis,,False
4.8302,64,8.0,,rpl,8,ff02::1a,dis,,False
4.8322,64,7.0,,rpl,7,ff02::1a,dis,,False
4.8351999999999995,64,14.0,,rpl,14,ff02::1a,dis,,False
4.8356,64,5.0,,rpl,5,ff02::1a,dis,,False
5.1064,64,8.0,,rpl,8,ff02::1a,dis,,False
5.1128,64,7.0,,rpl,7,ff02::1a,dis,,False
5.1132,64,14.0,,rpl,14,ff02::1a,dis,,False
5.1156,64,5.0,,rpl,5,ff02::1a,dis,,False
5.1158,64,8.0,,rpl,8,ff02::1a,dis,,False
5.116,64,7.0,,rpl,7,ff02::1a,dis,,False
5.1162,64,14.0,,rpl,14,ff02::1a,dis,,False
