mote_id,monitored_time,tx_time,rx_time,on_time,int_time
3,0.149633,0.0,0.0,0.0,0.0
11,0.150666,0.0,0.0,0.0,0.0
3,0.149633,0.0,0.0,0.0,0.0
11,0.150666,0.0,0.0,0.0,0.0
3,0.288586,0.0,0.0,0.000798,0.0
7,0.253669,0.0,0.0,0.0,0.0
8,0.266307,0.0,0.0,0.0,0.0
11,0.289786,0.0,0.0,0.000798,0.0
2,0.332449,0.0,0.0,0.0,0.0
3,0.288586,0.0,0.0,0.000798,0.0
5,0.336148,0.0,0.0,0.0,0.0
7,0.392622,0.0,0.0,0.000798,0.0
8,0.266307,0.0,0.0,0.0,0.0
11,0.289786,0.0,0.0,0.000798,0.0
12,0.358011,0.0,0.0,0.0,0.0
14,0.318899,0.0,0.0,0.0,0.0
20,0.372839,0.0,0.0,0.0,0.0
2,0.471402,0.0,0.0,0.000798,0.0
3,0.288586,0.0,0.0,0.000798,0.0
5,0.475101,0.0,0.0,0.000798,0.0
7,0.392622,0.0,0.0,0.000798,0.0
8,0.40526,0.0,0.0,0.000798,0.0
11,0.289786,0.0,0.0,0.000798,0.0
12,0.497131,0.0,0.0,0.000798,0.0
13,0.465624,0.0,0.0,0.0,0.0
14,0.458019,0.0,0.0,0.000798,0.0
20,0.372839,0.0,0.0,0.0,0.0
2,0.471402,0.0,0.0,0.000798,0.0
3,0.538586,0.0,0.0,0.001596,0.0
5,0.475101,0.0,0.0,0.000798,0.0
6,0.593921,0.0,0.0,0.0,0.0
7,0.392622,0.0,0.0,0.000798,0.0
8,0.40526,0.0,0.0,0.000798,0.0
11,0.539786,0.0,0.0,0.001597,0.0
12,0.497131,0.0,0.0,0.000798,0.0
13,0.604743,0.0,0.0,0.000797,0.0
14,0.458019,0.0,0.0,0.000798,0.0
20,0.511958,0.0,0.0,0.000797,0.0
2,0.471402,0.0,0.0,0.000798,0.0
3,0.663586,0.0,0.0,0.002394,0.0
5,0.475101,0.0,0.0,0.000798,0.0
6,0.593921,0.0,0.0,0.0,0.0
7,0.642622,0.0,0.0,0.001596,0.0
8,0.65526,0.0,0.0,0.001596,0.0
11,0.664786,0.0,0.0,0.002396,0.0
12,0.497131,0.0,0.0,0.000798,0.0
13,0.604743,0.0,0.0,0.000797,0.0
14,0.458019,0.0,0.0,0.000798,0.0
19,0.687495,0.0,0.0,0.0,0.0
20,0.511958,0.0,0.0,0.000797,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,0.721402,0.0,0.0,0.001596,0.0
3,0.788586,0.0,0.0,0.003192,0.0
5,0.725101,0.0,0.0,0.001596,0.0
6,0.732874,0.0,0.0,0.000798,0.0
7,0.767622,0.0,0.0,0.002394,0.0
8,0.78026,0.0,0.0,0.002394,0.0
11,0.789786,0.0,0.0,0.003194,0.0
12,0.747131,0.0,0.0,0.001597,0.0
13,0.604743,0.0,0.0,0.000797,0.0
14,0.708019,0.0,0.0,0.001597,0.0
17,0.728947,0.0,0.0,0.0,0.0
19,0.687495,0.0,0.0,0.0,0.0
20,0.761959,0.0,0.0,0.001596,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,0.846402,0.0,0.0,0.002394,0.0
3,0.913586,0.0,0.0,0.00399,0.0
5,0.850101,0.0,0.0,0.002394,0.0
6,0.732874,0.0,0.0,0.000798,0.0
7,0.892622,0.0,0.0,0.003192,0.0
8,0.90526,0.0,0.0,0.003192,0.0
11,0.914786,0.0,0.0,0.003993,0.0
12,0.872131,0.0,0.0,0.002396,0.0
13,0.854744,0.0,0.0,0.001596,0.0
14,0.833019,0.0,0.0,0.002396,0.0
16,0.805073,0.0,0.0,0.0,0.0
17,0.868066,0.0,0.0,0.000797,0.0
19,0.826615,0.0,0.0,0.000799,0.0
20,0.886959,0.0,0.0,0.002395,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,0.971402,0.0,0.0,0.003192,0.0
3,0.913586,0.0,0.0,0.00399,0.0
4,0.987806,0.0,0.0,0.0,0.0
5,0.975101,0.0,0.0,0.003192,0.0
6,0.982874,0.0,0.0,0.001596,0.0
7,0.892622,0.0,0.0,0.003192,0.0
8,0.90526,0.0,0.0,0.003192,0.0
10,0.919146,0.0,0.0,0.0,0.0
11,0.914786,0.0,0.0,0.003993,0.0
12,0.997131,0.0,0.0,0.003194,0.0
13,0.979744,0.0,0.0,0.002395,0.0
14,0.958019,0.0,0.0,0.003194,0.0
16,0.944192,0.0,0.0,0.000798,0.0
17,0.868066,0.0,0.0,0.000797,0.0
18,0.946673,0.0,0.0,0.0,0.0
19,0.826615,0.0,0.0,0.000799,0.0
20,0.886959,0.0,0.0,0.002395,0.0
21,0.995981,0.0,0.0,0.0,0.0
1,0.749218,0.0,0.0,0.0,0.0
2,1.096402,0.0,0.0,0.00399,0.0
3,1.038586,0.0,0.0,0.004788,0.0
4,0.987806,0.0,0.0,0.0,0.0
5,1.100101,0.0,0.0,0.00399,0.0
6,0.982874,0.0,0.0,0.001596,0.0
7,1.017622,0.0,0.0,0.00399,0.0
8,1.03026,0.0,0.0,0.00399,0.0
10,1.058265,0.0,0.0,0.000797,0.0
11,1.039786,0.0,0.0,0.004792,0.0
12,0.997131,0.0,0.0,0.003194,0.0
13,0.979744,0.0,0.0,0.002395,0.0
14,1.083019,0.0,0.0,0.003993,0.0
15,1.088299,0.0,0.0,0.0,0.0
16,0.944192,0.0,0.0,0.000798,0.0
17,0.868066,0.0,0.0,0.000797,0.0
18,1.085792,0.0,0.0,0.000797,0.0
19,1.076615,0.0,0.0,0.001598,0.0
20,1.011959,0.0,0.0,0.003194,0.0
21,0.995981,0.0,0.0,0.0,0.0
1,1.205682,0.0,0.008829,0.456464,0.0
2,1.096402,0.0,0.0,0.00399,0.0
3,1.206129,0.009276,0.0,0.020339,0.0
4,1.205425,0.0,0.0,0.000798,0.0
5,1.100101,0.0,0.0,0.00399,0.0
6,1.107874,0.0,0.0,0.002394,0.0
7,1.142622,0.0,0.0,0.004788,0.0
8,1.205682,0.0,0.0,0.004788,0.0
9,1.205682,0.0,0.0,0.0,0.0
10,1.205425,0.0,0.0,0.000797,0.0
11,1.205976,0.008827,0.0,0.019317,0.0
