dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,2.108804
0.006784,,,,,,14.649665
,,,0.049184,53.0,29.0,14.780787
0.006784,,,,,,14.780787
,0.0768,,,,,14.82849
,0.0768,,,,,20.96381
0.006784,,,,,,21.24343
,,,0.006784,53.0,4.0,21.53074
0.006784,,,,,,21.53074
,0.0768,,,,,39.424749
0.006784,,,,,,40.728637
,,,0.006784,53.0,4.0,40.780832
0.006784,,,,,,40.780832
,,,0.004096,32.0,4.0,53.153299
,,,0.006144,32.0,6.0,55.156656
,0.0768,,,,,56.901434
,,,0.004096,32.0,4.0,57.279734
,,,0.00512,32.0,5.0,59.280496
0.006784,,,,,,59.712319
,,,0.006784,53.0,4.0,59.781237
0.006784,,,,,,59.781237
,,,0.00512,32.0,5.0,61.156289
,,,0.004096,32.0,4.0,63.154367
,,,0.00512,32.0,5.0,65.1551
,,,0.02048,32.0,20.0,77.156245
,,,0.001024,32.0,1.0,77.203226
,,,0.004096,32.0,4.0,77.654183
,,,0.00512,32.0,5.0,79.154917
,,,0.00512,32.0,5.0,81.280684
,,,0.00512,32.0,5.0,83.156412
,,,0.004096,32.0,4.0,85.154489
,,,0.00512,32.0,5.0,87.155268
,,,0.004096,32.0,4.0,89.15333
,,,0.00512,32.0,5.0,91.279062
,,,0.00512,32.0,5.0,93.154794
,,,0.00512,32.0,5.0,95.280557
,,,0.00512,32.0,5.0,97.156259
,,,0.004096,32.0,4.0,99.154337
,,,0.00512,32.0,5.0,101.280069
,,,0.001856,58.0,1.0,101.330892
0.006784,,,,,,112.259043
,,,0.002048,32.0,2.0,113.279061
,,,0.001024,32.0,1.0,113.326032
,,,0.006784,53.0,4.0,114.029824
0.006784,,,,,,114.029824
,,,0.001024,32.0,1.0,114.07969
,0.0768,,,,,115.104054
,,,0.00512,32.0,5.0,115.529886
,,,0.00512,32.0,5.0,117.280648
,,,0.00512,32.0,5.0,119.156381
,,,0.004096,32.0,4.0,121.154458
,,,0.00512,32.0,5.0,123.155191
,,,0.004096,32.0,4.0,125.153298
,,,0.006144,32.0,6.0,127.156656
,,,0.004096,32.0,4.0,129.154734
,,,0.00512,32.0,5.0,131.280496
,,,0.00512,32.0,5.0,133.156198
,,,0.004096,32.0,4.0,135.154276
,,,0.00512,32.0,5.0,137.155008
,,,0.032768,32.0,32.0,149.280788
,,,0.001024,32.0,1.0,149.327768
,,,0.00512,32.0,5.0,149.906381
,,,0.004096,32.0,4.0,151.154459
,,,0.00512,32.0,5.0,153.155191
,,,0.004096,32.0,4.0,155.153298
,,,0.006144,32.0,6.0,157.156656
,,,0.004096,32.0,4.0,159.154734
,,,0.00512,32.0,5.0,161.280497
,,,0.00512,32.0,5.0,163.156198
,,,0.004096,32.0,4.0,165.154275
,,,0.00512,32.0,5.0,167.155008
,,,0.041984,32.0,41.0,179.281275
,,,0.001024,32.0,1.0,179.328225
,,,0.004096,32.0,4.0,179.779215
,,,0.00512,32.0,5.0,181.279947
,,,0.00512,32.0,5.0,183.28071
,,,0.00512,32.0,5.0,185.156443
,,,0.004096,32.0,4.0,187.154519
,,,0.00512,32.0,5.0,189.155268
,,,0.004096,32.0,4.0,191.153329
,,,0.00512,32.0,5.0,193.154061
,,,0.00512,32.0,5.0,195.154794
,,,0.00512,32.0,5.0,197.280557
,,,0.00512,32.0,5.0,199.156259
