bin_time,mote_id,tx_time,rx_time,on_time,int_time
0,1,0.187521,0.031149,0.370222,0.019411
0,10,0.143895,0.025789,0.301541,0.004995
0,11,0.0,0.002642,0.074101,0.002024
0,12,0.0,0.005579,0.078402,0.004884
0,13,0.084171,0.005271,0.185469,0.002598
0,14,0.084141,0.016037,0.205059,0.0048
0,15,0.0,0.005495,0.074299,0.005471
0,2,0.191353,0.031263,0.37871,0.013264
0,3,0.185943,0.023916,0.349724,0.008914
0,4,0.19364,0.039709,0.381431,0.010407
0,5,0.267667,0.022399,0.464564,0.012963
0,6,0.08416,0.002606,0.177391,0.002249
0,7,0.0,0.018999,0.104425,0.011594
0,8,0.107624,0.381476,9.227455,0.0
0,9,0.149168,0.026191,0.313435,0.013512
10,1,0.383573,0.149642,1.044021,0.06963
10,10,0.416268,0.05679,0.808598,0.01994
10,11,0.154743,0.026436,0.404002,0.017361
10,12,0.189402,0.069781,0.535312,0.036085
10,13,0.250374,0.040971,0.538292,0.020414
10,14,0.298685,0.05847,0.64211,0.020606
10,15,0.199355,0.02493,0.47138,0.022933
10,2,0.334908,0.08033,0.809192,0.041539
10,3,0.376064,0.074468,0.810918,0.038253
10,4,0.520282,0.125265,1.167379,0.067551
10,5,0.450076,0.081778,0.915366,0.039067
10,6,0.394271,0.041044,0.74847,0.021619
10,7,0.293443,0.075271,0.685655,0.040722
10,8,0.230023,0.718481,19.508335,0.0
10,9,0.478063,0.089712,0.945629,0.032456
20,1,0.577243,0.262273,1.702133,0.112851
20,10,0.584775,0.073014,1.153482,0.02676
20,11,0.268391,0.042676,0.674583,0.032971
20,12,0.34543,0.114047,0.903032,0.048364
20,13,0.356354,0.049576,0.756847,0.022954
20,14,0.448483,0.075456,0.957167,0.026728
20,15,0.312979,0.044328,0.73855,0.030803
20,2,0.46709,0.127009,1.182826,0.059528
20,3,0.45004,0.111385,1.0933,0.056347
20,4,0.811194,0.197992,1.832546,0.094029
20,5,0.529382,0.110559,1.182052,0.058564
20,6,0.480363,0.061023,0.998237,0.025982
20,7,0.380109,0.104597,0.973529,0.066682
20,8,0.351102,1.044333,29.405199,0.0
20,9,0.561898,0.130714,1.236484,0.050559
30,1,0.688548,0.38704,2.31282,0.172278
30,10,0.674471,0.102682,1.437965,0.040791
30,11,0.382075,0.064713,0.951098,0.047592
30,12,0.501616,0.162838,1.285909,0.069003
30,13,0.476882,0.06725,1.026509,0.034552
30,14,0.600803,0.089146,1.272419,0.031603
30,15,0.437114,0.054184,1.031251,0.04479
30,2,0.513377,0.178021,1.562866,0.085243
30,3,0.677781,0.148949,1.582505,0.077691
30,4,1.038196,0.277857,2.468053,0.139485
30,5,0.733526,0.143316,1.649473,0.089727
30,6,0.649115,0.09018,1.373925,0.041303
30,7,0.561698,0.157057,1.404064,0.086689
30,8,0.369962,1.201925,39.429173,0.0
30,9,0.760268,0.158436,1.683264,0.068636
40,1,0.848597,0.547377,3.085942,0.224511
40,10,0.791225,0.119,1.744498,0.048895
40,11,0.435683,0.081834,1.17659,0.057762
40,12,0.566923,0.207661,1.548453,0.085759
40,13,0.522783,0.069738,1.189349,0.037615
40,14,0.647873,0.091067,1.429716,0.031603
40,15,0.488628,0.062867,1.244138,0.059153
40,2,0.577517,0.241118,1.947764,0.123957
40,3,0.83659,0.186155,2.012433,0.095825
40,4,1.309217,0.366197,3.217854,0.186934
40,5,0.879279,0.18612,2.05943,0.115711
40,6,0.753954,0.109329,1.669817,0.05125
40,7,0.669609,0.185227,1.726383,0.105033
40,8,0.502919,1.426114,49.422615,0.0
40,9,0.914353,0.19383,2.103161,0.083612
50,1,1.091474,0.702162,3.929015,0.29338
50,10,0.918779,0.139947,2.079606,0.058659
50,11,0.502088,0.098751,1.413239,0.069448
50,12,0.646035,0.245798,1.818554,0.103888
50,13,0.575345,0.075739,1.366667,0.040599
50,14,0.78605,0.092987,1.698012,0.031603
50,15,0.540123,0.078409,1.476749,0.078805
50,2,0.737626,0.31918,2.465275,0.162999
50,3,1.003661,0.235167,2.475377,0.117629
50,4,1.694004,0.459007,4.125237,0.24224
50,5,1.047405,0.227657,2.511275,0.152182
50,6,0.935509,0.128503,2.075923,0.075687
