dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,1.40715
,0.0768,,,,,17.980872
0.006784,,,,,,18.534887
,,,0.030528,53.0,18.0,18.629396
0.006784,,,,,,18.629396
,,,0.004096,32.0,4.0,20.501676
,,,0.006784,53.0,4.0,21.877439
0.006784,,,,,,21.877439
,,,0.00512,32.0,5.0,22.502501
,,,0.005248,41.0,4.0,22.876798
,,,0.00512,32.0,5.0,24.502225
,0.0768,,,,,24.708924
,,,0.00656,41.0,5.0,25.004498
,,,0.004096,32.0,4.0,26.502274
,,,0.00656,41.0,5.0,26.754514
,,,0.006784,53.0,4.0,28.004972
0.006784,,,,,,28.004972
0.006784,,,,,,28.315191
,,,0.006784,53.0,4.0,28.505088
0.006784,,,,,,28.505088
,,,0.004096,32.0,4.0,29.00247
,,,0.005248,41.0,4.0,29.501768
,,,0.00512,32.0,5.0,30.502195
,,,0.00656,41.0,5.0,31.004454
,,,0.004096,32.0,4.0,32.502227
,,,0.00656,41.0,5.0,32.754498
,,,0.004096,32.0,4.0,34.627256
,,,0.00656,41.0,5.0,34.754515
,,,0.004096,32.0,4.0,36.502287
,0.0768,,,,,36.566823
,,,0.00656,41.0,5.0,37.254545
,,,0.004096,32.0,4.0,38.502318
,,,0.00656,41.0,5.0,38.754575
0.006784,,,,,,40.322991
,,,0.006784,53.0,4.0,40.380033
0.006784,,,,,,40.380033
,,,0.004096,32.0,4.0,40.627439
,,,0.005248,41.0,4.0,40.751737
,,,0.006784,53.0,4.0,41.252196
0.006784,,,,,,41.252196
,,,0.00512,32.0,5.0,42.502256
,,,0.00656,41.0,5.0,42.879514
,,,0.004096,32.0,4.0,44.502288
,,,0.00656,41.0,5.0,44.879545
,,,0.004096,32.0,4.0,46.502318
,,,0.00656,41.0,5.0,46.754576
,,,0.004096,32.0,4.0,48.502348
,,,0.005248,41.0,4.0,48.751646
,,,0.00512,32.0,5.0,50.502074
,,,0.00656,41.0,5.0,50.879331
,,,0.004096,32.0,4.0,52.502103
,,,0.00656,41.0,5.0,52.754361
,,,0.004096,32.0,4.0,54.502138
,,,0.00656,41.0,5.0,55.254396
,,,0.004096,32.0,4.0,56.502165
,,,0.00656,41.0,5.0,56.879423
,,,0.004096,32.0,4.0,58.502196
,,,0.00656,41.0,5.0,58.754453
,,,0.004096,32.0,4.0,60.502226
,,,0.00656,41.0,5.0,60.879498
,,,0.004096,32.0,4.0,62.502274
,,,0.00656,41.0,5.0,62.754514
,,,0.004096,32.0,4.0,64.502287
,,,0.00656,41.0,5.0,64.754556
,,,0.004096,32.0,4.0,66.502317
,0.0768,,,,,67.144947
,,,0.003072,32.0,3.0,76.12689
,,,0.006784,53.0,4.0,76.502653
0.006784,,,,,,76.502653
,,,0.001312,41.0,1.0,76.553831
,,,0.001856,58.0,1.0,76.601754
,,,0.00512,32.0,5.0,77.002714
,,,0.007424,58.0,4.0,78.004149
,,,0.005248,41.0,4.0,78.502623
,,,0.00656,41.0,5.0,82.254576
,,,0.004096,32.0,4.0,82.627348
,,,0.005248,41.0,4.0,83.001646
,,,0.00512,32.0,5.0,83.377073
,,,0.00656,41.0,5.0,84.254331
,,,0.004096,32.0,4.0,84.502104
,,,0.00656,41.0,5.0,84.754361
,,,0.004096,32.0,4.0,86.502135
,,,0.00656,41.0,5.0,87.504396
,,,0.004096,32.0,4.0,88.502165
,,,0.00656,41.0,5.0,88.879423
,,,0.004096,32.0,4.0,90.502195
,,,0.00656,41.0,5.0,90.879453
,,,0.004096,32.0,4.0,92.502226
,,,0.00656,41.0,5.0,93.129498
,,,0.004096,32.0,4.0,94.502256
,,,0.00656,41.0,5.0,94.754514
,,,0.00512,32.0,5.0,96.504952
,,,0.005248,41.0,4.0,96.879238
,,,0.004096,32.0,4.0,98.502012
,,,0.00512,32.0,5.0,100.502745
,,,0.00512,32.0,5.0,102.503526
,,,0.004096,32.0,4.0,104.751585
,,,0.00512,32.0,5.0,106.502317
,,,0.00656,41.0,5.0,107.504575
,,,0.00656,41.0,5.0,107.88153
,,,0.003072,32.0,3.0,108.501646
,,,0.005248,41.0,4.0,108.750943
,,,0.006144,32.0,6.0,110.504027
,,,0.00656,41.0,5.0,110.881284
,,,0.003072,32.0,3.0,112.501402
,,,0.00656,41.0,5.0,112.753662
,,,0.004096,32.0,4.0,114.501444
,,,0.00512,32.0,5.0,116.502165
,,,0.006144,32.0,6.0,118.505553
,,,0.004096,32.0,4.0,120.62863
,,,0.00512,32.0,5.0,122.754362
,,,0.001312,41.0,1.0,122.805479
,,,0.005248,41.0,4.0,123.253662
,,,0.004096,32.0,4.0,124.876441
,,,0.00656,41.0,5.0,124.939499
,0.0768,,,,,125.066806
,,,0.00512,32.0,5.0,126.502165
,,,0.00656,41.0,5.0,127.629423
,,,0.00512,32.0,5.0,128.504851
,,,0.004096,32.0,4.0,130.502927
,,,0.006784,53.0,4.0,131.503721
0.006784,,,,,,131.503721
,,,0.001312,41.0,1.0,131.554776
0.006784,,,,,,131.600753
,,,0.006784,53.0,4.0,131.753812
0.006784,,,,,,131.753812
,,,0.00512,32.0,5.0,132.503873
,,,0.005248,41.0,4.0,132.753172
,,,0.00512,32.0,5.0,134.503599
,,,0.005248,41.0,4.0,134.752898
,,,0.00512,32.0,5.0,136.503355
,,,0.005248,41.0,4.0,136.877653
