dao_tx,dio_tx,dis_tx,mac_tx,size,strobes,time
,,0.058656,,,,1.558315
,0.0768,,,,,21.397611
0.006784,,,,,,21.608377
,,,0.010176,53.0,6.0,21.663075
0.006784,,,,,,21.663075
,,,0.00512,32.0,5.0,22.663144
,,,0.00512,32.0,5.0,24.663878
,,,0.004096,32.0,4.0,26.661946
0.006784,,,,,,27.505359
,,,0.006784,53.0,4.0,27.787709
0.006784,,,,,,27.787709
,0.0768,,,,,28.491362
,,,0.00512,32.0,5.0,28.78777
,,,0.00512,32.0,5.0,30.788502
,,,0.00512,32.0,5.0,32.664234
,,,0.004096,32.0,4.0,34.662342
,,,0.00512,32.0,5.0,37.038076
,,,0.004096,32.0,4.0,38.661152
,,,0.00512,32.0,5.0,40.661895
0.006784,,,,,,40.936
,,,0.006784,53.0,4.0,41.037648
0.006784,,,,,,41.037648
,,,0.00512,32.0,5.0,42.662739
,,,0.00512,32.0,5.0,44.663472
,0.0768,,,,,46.147615
,,,0.00512,32.0,5.0,46.664205
,,,0.004096,32.0,4.0,48.662314
,,,0.00512,32.0,5.0,50.663045
,,,0.004096,32.0,4.0,52.661122
,,,0.006144,32.0,6.0,55.164509
,,,0.004096,32.0,4.0,56.662589
,,,0.00512,32.0,5.0,58.66332
,,,0.00512,32.0,5.0,60.789068
,,,0.004096,32.0,4.0,62.66213
,,,0.00512,32.0,5.0,64.662867
,0.0768,,,,,65.889794
0.006784,,,,,,71.317865
,,,0.006784,53.0,4.0,75.288655
0.006784,,,,,,75.288655
,,,0.001024,32.0,1.0,75.339467
,,,0.007424,58.0,4.0,77.664388
,,,0.001024,32.0,1.0,77.715169
,,,0.00512,32.0,5.0,78.664295
,,,0.004096,32.0,4.0,80.787373
,,,0.00512,32.0,5.0,82.663106
,,,0.004096,32.0,4.0,84.661183
,,,0.00512,32.0,5.0,86.661915
,,,0.00512,32.0,5.0,88.662647
,,,0.00512,32.0,5.0,90.66338
,,,0.00512,32.0,5.0,92.664129
,,,0.004096,32.0,4.0,94.662191
,,,0.00512,32.0,5.0,96.662923
,,,0.036864,32.0,36.0,107.163563
,,,0.001024,32.0,1.0,107.211416
,,,0.00512,32.0,5.0,108.664162
,,,0.004096,32.0,4.0,110.787221
,,,0.00512,32.0,5.0,112.662953
,,,0.036864,32.0,36.0,122.538563
,,,0.00512,32.0,5.0,122.664159
,,,0.004096,32.0,4.0,124.66222
,,,0.00512,32.0,5.0,126.662953
0.006784,,,,,,130.411789
,,,0.006784,53.0,4.0,131.163715
0.006784,,,,,,131.163715
,,,0.001024,32.0,1.0,131.214466
,,,0.004096,32.0,4.0,132.661122
,,,0.006144,32.0,6.0,134.664509
,,,0.004096,32.0,4.0,136.662589
,0.0768,,,,,137.10856
,,,0.00512,32.0,5.0,138.663323
,,,0.00512,32.0,5.0,140.789068
,,,0.004096,32.0,4.0,142.66213
,,,0.00512,32.0,5.0,144.662869
,,,0.007424,58.0,4.0,154.164234
,,,0.001024,32.0,1.0,154.215016
,,,0.00512,32.0,5.0,154.664159
,,,0.004096,32.0,4.0,156.662221
,,,0.00512,32.0,5.0,158.662953
,,,0.03072,32.0,30.0,168.91236
,,,0.001024,32.0,1.0,168.960163
,,,0.00512,32.0,5.0,170.662954
,,,0.03072,32.0,30.0,180.91242
,,,0.001024,32.0,1.0,180.960297
,,,0.00512,32.0,5.0,182.663014
,,,0.004096,32.0,4.0,184.661091
,,,0.006144,32.0,6.0,186.664479
,,,0.004096,32.0,4.0,188.662557
,,,0.00512,32.0,5.0,190.663288
,,,0.00512,32.0,5.0,192.664041
,,,0.004096,32.0,4.0,194.662098
,,,0.00512,32.0,5.0,196.662831
