time,mote_id,node,strobes,message_type,message,tx,rx,size
0.371953,,2,,energy,,0.0,0.0,
0.386489,,6,,energy,,0.0,0.0,
0.484191,,4,,energy,,0.0,0.0,
0.567034,,1,,energy,,0.0,0.0,
0.623144,,4,,energy,,0.0,0.0,
0.676556,,7,,energy,,0.0,0.0,
0.760906,,2,,energy,,0.0,0.0,
0.775442,,6,,energy,,0.0,0.0,
0.850944,,5,,energy,,0.0,0.0,
0.87177,,4,,energy,,0.0,0.0,
0.926556,,7,,energy,,0.0,0.0,
0.989897,,5,,energy,,0.0,0.0,
0.998144,,4,,energy,,0.0,0.0,
1.010906,,2,,energy,,0.0,0.0,
1.025442,,6,,energy,,0.0,0.0,
1.035173,,3,,energy,,0.0,0.0,
1.174126,,3,,energy,,0.0,0.0,
1.275442,,6,,energy,,0.0,0.0,
1.301556,,7,,energy,,0.0,0.0,
1.364897,,5,,energy,,0.0,0.0,
1.373144,,4,,energy,,0.0,0.0,
1.385906,,2,,energy,,0.0,0.0,
1.392614,2,2,,dis,,,,
1.400442,,6,,energy,,0.0,0.0,
1.40715,6,6,,dis,,,,
1.498144,,4,,energy,,0.0,0.0,
1.504509,,3,,energy,,0.0,0.002208,
1.504509,,1,,energy,,0.0,0.059593,
1.50462,,7,,energy,,0.0,0.0,
1.50462,,5,,energy,,0.0,0.002208,
1.504697,,6,,energy,,0.050763,0.0,
1.504829,,2,,energy,,0.059913,0.0,
1.504855,4,4,,dis,,,,
1.543307,,1,,energy,,0.0,0.08608,
1.543384,,2,,energy,,0.08608,0.0,
1.55792,,6,,energy,,0.086078,0.0,
1.558315,7,7,,dis,,,,
1.564226,,7,,energy,,0.0,0.004414,
1.600116,,5,,energy,,0.0,0.002208,
1.600116,,3,,energy,,0.0,0.004415,
1.60098,,4,,energy,,0.049421,0.0,
1.635906,,2,,energy,,0.08608,0.0,
1.655622,,4,,energy,,0.086076,0.0,
1.674126,,3,,energy,,0.0,0.004415,
1.736146,,6,,energy,,0.086078,0.002208,
1.736222,,7,,energy,,0.08608,0.004414,
1.739897,,5,,energy,,0.0,0.004415,
1.748144,,4,,energy,,0.086076,0.0,
1.760906,,2,,energy,,0.08608,0.0,
1.775442,,6,,energy,,0.086078,0.002208,
1.799126,,3,,energy,,0.0,0.004415,
1.801556,,7,,energy,,0.08608,0.004414,
1.864897,,5,,energy,,0.0,0.004415,
1.871591,5,5,,dis,,,,
1.885906,,2,,energy,,0.08608,0.0,
1.905875,,4,,energy,,0.086076,0.0,
1.905875,,6,,energy,,0.086078,0.004416,
1.906425,,5,,energy,,0.00883,0.004415,
1.924126,,3,,energy,,0.0,0.004415,
1.926556,,7,,energy,,0.08608,0.004414,
2.005665,,4,,energy,,0.086076,0.004415,
2.005665,,6,,energy,,0.086078,0.004416,
2.006217,,5,,energy,,0.075044,0.004415,
2.025442,,6,,energy,,0.086078,0.004416,
2.051556,,7,,energy,,0.08608,0.004414,
2.055835,3,3,,dis,,,,
2.114897,,5,,energy,,0.08608,0.004415,
2.130019,,2,,energy,,0.08608,0.0,
2.130019,,4,,energy,,0.086076,0.006622,
2.130571,,3,,energy,,0.035315,0.004415,
2.150442,,6,,energy,,0.086078,0.004416,
2.176556,,7,,energy,,0.08608,0.004414,
2.206527,,2,,energy,,0.08608,0.002207,
2.206527,,4,,energy,,0.086076,0.006622,
2.206604,,3,,energy,,0.086076,0.004415,
2.299126,,3,,energy,,0.086076,0.004415,
2.301556,,7,,energy,,0.08608,0.004414,
2.364897,,5,,energy,,0.08608,0.004415,
2.373144,,4,,energy,,0.086076,0.006622,
2.385906,,2,,energy,,0.08608,0.002207,
2.400442,,6,,energy,,0.086078,0.004416,
2.424126,,3,,energy,,0.086076,0.004415,
2.426556,,7,,energy,,0.08608,0.004414,
2.489897,,5,,energy,,0.08608,0.004415,
2.498144,,4,,energy,,0.086076,0.006622,
2.510906,,2,,energy,,0.08608,0.002207,
2.525442,,6,,energy,,0.086078,0.004416,
2.799126,,3,,energy,,0.086076,0.004415,
2.801556,,7,,energy,,0.08608,0.004414,
2.864897,,5,,energy,,0.08608,0.004415,
2.873144,,4,,energy,,0.086076,0.006622,
2.885906,,2,,energy,,0.08608,0.002207,
2.900442,,6,,energy,,0.086078,0.004416,
2.989897,,5,,energy,,0.08608,0.004415,
2.998144,,4,,energy,,0.086076,0.006622,
3.010906,,2,,energy,,0.08608,0.002207,
3.025442,,6,,energy,,0.086078,0.004416,
3.049126,,3,,energy,,0.086076,0.004415,
3.051556,,7,,energy,,0.08608,0.004414,
3.739897,,5,,energy,,0.08608,0.004415,
3.748144,,4,,energy,,0.086076,0.006622,
3.760906,,2,,energy,,0.08608,0.002207,
3.775442,,6,,energy,,0.086078,0.004416,
3.799126,,3,,energy,,0.086076,0.004415,
3.801556,,7,,energy,,0.08608,0.004414,
3.855896,1,1,,dio,,,,
3.864897,,5,,energy,,0.08608,0.004415,
3.873144,,4,,energy,,0.086076,0.006622,
3.894481,,2,,energy,,0.08608,0.005471,
3.894513,,1,,energy,,0.009789,0.08608,
3.900442,,6,,energy,,0.086078,0.004416,
3.902416,,1,,energy,,0.016314,0.08608,
3.902416,,2,,energy,,0.08608,0.005471,
3.907118,,2,,energy,,0.08608,0.005471,
3.907278,,1,,energy,,0.019737,0.08608,
3.911086,,2,,energy,,0.08608,0.005471,
3.912557,,1,,energy,,0.02431,0.08608,
3.915052,,2,,energy,,0.08608,0.005471,
3.918251,,1,,energy,,0.029301,0.08608,
3.924126,,3,,energy,,0.086076,0.004415,
3.926556,,7,,energy,,0.08608,0.004414,
3.989897,,5,,energy,,0.08608,0.004415,
3.998144,,4,,energy,,0.086076,0.006622,
4.013563,,1,,energy,,0.107666,0.08608,
4.016679,,2,,energy,,0.08608,0.005471,
4.299126,,3,,energy,,0.086076,0.004415,
4.301556,,7,,energy,,0.08608,0.004414,
4.364897,,5,,energy,,0.08608,0.004415,
4.373144,,4,,energy,,0.086076,0.006622,
4.385906,,2,,energy,,0.08608,0.005471,
4.400442,,6,,energy,,0.086078,0.004416,
4.424126,,3,,energy,,0.086076,0.004415,
4.426556,,7,,energy,,0.08608,0.004414,
4.489897,,5,,energy,,0.08608,0.004415,
4.498144,,4,,energy,,0.086076,0.006622,
4.510906,,2,,energy,,0.08608,0.005471,
4.525442,,6,,energy,,0.086078,0.004416,
4.549126,,3,,energy,,0.086076,0.004415,
4.551556,,7,,energy,,0.08608,0.004414,
4.614897,,5,,energy,,0.08608,0.004415,
4.623144,,4,,energy,,0.086076,0.006622,
4.635906,,2,,energy,,0.08608,0.005471,
4.650442,,6,,energy,,0.086078,0.004416,
4.674126,,3,,energy,,0.086076,0.004415,
4.676556,,7,,energy,,0.08608,0.004414,
4.799126,,3,,energy,,0.086076,0.004415,
4.801556,,7,,energy,,0.08608,0.004414,
4.864897,,5,,energy,,0.08608,0.004415,
4.873144,,4,,energy,,0.086076,0.006622,
4.885906,,2,,energy,,0.08608,0.005471,
