message,departure_time,arrival_time
         1,11.013078,11.29334
         2,13.008936,13.398016
         3,15.008941,16.752711
         4,17.008953,17.492505
         5,19.008958,19.526088
         6,21.008929,21.576872
         7,23.029385,23.779444
         8,25.008948,25.911283
         9,27.008954,27.390912
        10,29.008979,29.235462
        11,31.11633,32.495003
        12,33.064966,36.657207
        13,35.008957,36.847234
        14,37.008971,37.539317
        15,39.008961,40.309917
        16,41.008966,41.363487
        17,43.008958,43.228344
        18,45.008949,45.729135
        19,47.111842,47.792431
        20,49.008977,49.261914
        21,51.008953,52.02149
        22,53.153381,53.565808
        23,55.00895,55.701021
        24,57.008956,57.73449
        25,59.008969,60.003937
        26,61.008966,61.91337
        27,63.008978,
        28,65.00895,67.892426
        29,67.00897,70.62213
        30,69.008978,71.15928
        31,71.014616,71.426644
        32,73.008969,73.531327
        33,75.008953,75.386084
        34,77.011337,78.271074
        35,79.165029,79.912093
        36,81.014615,81.304683
        37,83.008973,83.659388
        38,85.008954,85.851915
        39,87.00896,88.138439
        40,89.008973,91.107983
        41,91.014616,92.46351
        42,93.00897,94.05807
        43,95.039713,96.218468
        44,97.011131,98.052859
        45,99.111175,
        46,101.054164,
        47,103.054774,
        48,105.008973,110.46139
        49,107.008961,
        50,109.008965,
        51,111.008974,115.525834
        52,113.008956,
        53,115.164244,116.084245
        54,117.008957,118.100032
        55,119.008973,120.042112
        56,121.008959,
        57,123.008962,
        58,125.166705,
        59,127.008966,
        60,129.008952,
        61,131.008962,134.842412
        62,133.008952,135.562476
        63,135.008965,135.612702
        64,137.155272,138.771771
        65,139.008961,141.720987
        66,141.014618,142.625869
        67,143.041519,144.730587
        68,145.166557,146.326039
        69,147.008964,147.352886
        70,149.118889,150.378963
        71,151.008955,151.531577
        72,153.008964,154.731041
        73,155.008958,155.344937
        74,157.008975,157.58181
        75,159.008973,165.571699
        76,161.008953,166.875532
        77,163.008968,
        78,165.008967,
        79,167.008966,167.665586
        80,169.11226,169.568406
        81,171.164622,172.2841
        82,173.00898,173.574752
        83,175.009761,175.898995
        84,177.008966,178.263161
        85,179.00895,180.182503
        86,181.008954,181.651986
        87,183.008969,183.546745
        88,185.008978,185.486368
        89,187.008971,187.330875
        90,189.008976,189.425418
        91,191.008972,191.66525
        92,193.008974,
        93,195.008955,
        94,197.008965,
        95,199.04226,
