message,departure_time,arrival_time
         1,20.364385,21.212022
         2,22.360255,23.735601
         3,24.360258,25.962403
         4,26.360247,28.130777
         5,28.360246,31.154246
         6,30.365913,32.444802
         7,32.360264,36.705364
         8,34.360246,
         9,36.360252,37.589542
        10,38.360289,40.258861
        11,40.420296,45.268794
        12,42.360266,46.447855
        13,44.360278,46.862882
        14,46.360267,47.842635
        15,48.360276,50.251781
        16,50.360287,51.971325
        17,52.360265,54.180655
        18,54.36027,56.140008
        19,56.360291,57.544908
        20,58.360264,60.101678
        21,60.360275,61.358894
        22,62.360278,66.862563
        23,64.360271,70.207088
        24,66.360274,
        25,68.360276,
        26,70.360274,
        27,72.408181,
        28,74.408519,79.37573
        29,76.360286,86.368711
        30,78.360279,
        31,80.360279,89.703102
        32,82.36028,91.057778
        33,84.360279,91.672586
        34,86.360283,92.412431
        35,88.360273,94.006956
        36,90.360276,95.286815
        37,92.360283,97.198174
        38,94.360294,98.103064
        39,96.360268,99.647365
        40,98.360289,110.146809
        41,100.360267,110.92373
        42,102.360271,
        43,104.360283,111.018304
        44,106.360276,114.837125
        45,108.360284,116.035984
        46,110.360268,117.610185
        47,112.360269,118.714861
        48,114.360269,119.129894
        49,116.360273,121.656939
        50,118.360276,124.664071
        51,120.36029,125.330045
        52,122.360265,
        53,124.360265,
        54,126.360271,
        55,128.360269,
        56,130.36029,136.927304
        57,132.360276,139.261638
        58,134.360271,140.366294
        59,136.360286,141.771221
        60,138.360275,
        61,140.365933,145.295205
        62,142.360283,146.274903
        63,144.360291,147.254558
        64,146.360266,148.974041
        65,148.360294,150.328757
        66,150.360278,152.538095
        67,152.360294,154.683789
        68,154.366029,156.767148
        69,156.360267,158.746852
        70,158.360275,
        71,160.360278,167.020912
        72,162.360277,
        73,164.360276,168.980208
        74,166.360284,169.520256
        75,168.360277,170.749917
        76,170.365933,174.314896
        77,172.360281,176.743447
        78,174.360286,177.206708
        79,176.360292,178.952786
        80,178.360294,180.232709
        81,180.36028,182.016851
        82,182.360291,185.53658
        83,184.360277,186.891236
        84,186.360268,191.715466
        85,188.360293,193.509774
        86,190.360272,
        87,192.360276,198.509175
        88,194.360291,199.738549
        89,196.360282,
        90,198.360275,
