frame.time_relative,frame.len,wpan.src64,wpan.dst64,icmpv6.type,ipv6.src,ipv6.dst,icmpv6.code,data.data
0.000000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.182000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.191000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.195000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.343000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.356000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.359000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.370000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.375000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.378000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.390000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.474000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.476000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.478000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.481000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.484000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.486000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.489000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.506000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.509000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.627000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.628000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.630000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.632000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.634000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.637000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.639000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.641000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.643000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.725000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.734000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.735000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.737000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.738000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.740000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.742000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.744000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.747000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.873000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.876000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.878000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.880000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
0.882000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
0.885000000,64,00:00:00:00:00:00:00:06,,155,fe80::200:0:0:6,ff02::1a,0,
1.023000000,64,00:00:00:00:00:00:00:02,,155,fe80::200:0:0:2,ff02::1a,0,
