message,departure_time,arrival_time
         1,48.824708,50.791835
         2,50.830368,52.461129
         3,52.824724,54.596106
         4,54.824705,56.191146
         5,56.824717,58.599344
         6,58.82471,60.744069
         7,60.824705,61.963576
         8,62.824723,67.477395
         9,64.824722,70.571916
        10,66.824725,71.061745
        11,68.824734,71.207424
        12,70.824727,71.916461
        13,72.824751,73.771132
        14,74.824736,77.655416
        15,76.85688,85.514074
        16,78.824736,87.473407
        17,80.824744,
        18,82.824745,89.753285
        19,84.824739,
        20,86.824727,93.277263
        21,88.824735,94.54699
        22,90.824741,96.708334
        23,92.824751,97.248379
        24,94.824751,99.032496
        25,96.824744,
        26,98.824748,110.876435
        27,100.824747,110.971018
        28,102.82473,
        29,104.824728,114.296177
        30,106.824743,115.890664
        31,108.824731,116.556541
        32,110.824733,117.660433
        33,112.824743,119.07969
        34,114.824737,121.559422
        35,116.82473,121.754734
        36,118.824744,124.714278
        37,120.824732,125.694495
        38,122.826589,130.63273
        39,124.82472,134.697611
        40,126.824722,134.747825
        41,128.824731,
        42,130.824724,136.977511
        43,132.82473,139.552303
        44,134.824723,140.829648
        45,136.824729,142.183925
        46,138.824733,143.81553
        47,140.824744,144.777875
        48,142.824737,146.816009
        49,144.824722,147.305636
        50,146.824739,149.838926
        51,148.824741,150.744309
        52,150.845656,153.578793
        53,152.824734,155.247477
        54,154.824721,156.716959
        55,156.824728,159.236669
        56,158.824739,166.510726
        57,160.824729,
        58,162.824724,
        59,164.824745,169.030418
        60,166.824729,170.084862
        61,168.824751,171.314558
        62,170.824743,174.263797
        63,172.824742,176.793659
        64,174.82475,177.523038
        65,176.824739,179.567651
        66,178.824729,180.672287
        67,180.824723,182.114963
        68,182.824732,186.276407
        69,184.824731,188.48576
        70,186.82474,192.456174
        71,188.824748,196.739423
        72,190.824727,197.65456
        73,192.824728,
        74,194.824721,199.785845
        75,196.82475,
        76,198.824721,
